,aaruleid,82309,
Rule8004,21599,26.2413587821502,26.2413587821502
Rule9106,15170,18.4305482996999,44.6719070818501
Rule8005,13046,15.8500285509483,60.5219356327984
Rule8014,6006,7.29689341384296,67.8188290466413
Rule8012,3132,3.80517318883719,71.6240022354785
Rule7001,2080,2.52706265414475,74.1510648896232
Rule9137,1830,2.22332916206004,76.3743940516833
Rule9105,1641,1.99370664204401,78.3681006937273
Rule9113,1624,1.97305276458224,80.3411534583095
Rule9103,1595,1.93781967950042,82.27897313781
Rule7006,1408,1.71062702742106,83.989600165231
Rule8018,1321,1.60492777217558,85.5945279374066
Rule9140,1264,1.53567653598027,87.1302044733869
Rule6002,1131,1.37409031819121,88.5042947915781
Rule9107,1060,1.28783000643915,89.7921247980172
Rule9133,860,1.04484321277139,90.8369680107886
Rule9117,752,0.913630344190793,91.7505983549794
Rule8008,678,0.823725230533721,92.5743235855131
Rule8020,597,0.725315579098276,93.2996391646114
Rule8010,559,0.679148088301401,93.9787872529128
Rule8017,490,0.595317644486022,94.5741048973988
Rule6001,464,0.563729361309213,95.137834258708
Rule9102,456,0.554009889562502,95.6918441482705
Rule9151,382,0.46410477590543,96.155948924176
Rule8007,358,0.434946360665298,96.5908952848413
Rule7004,358,0.434946360665298,97.0258416455066
Rule9136,291,0.353545784786597,97.3793874302931
Rule8006,267,0.324387369546465,97.7037747998396
Rule9108,227,0.275790010812912,97.9795648106525
Rule9135,197,0.239341991762748,98.2189068024153
Rule9120,181,0.219903048269327,98.4388098506846
Rule9142,179,0.217473180332649,98.6562830310173
Rule7003,142,0.172520623504113,98.8288036545214
Rule8024,134,0.162801151757402,98.9916048062788
Rule7002,134,0.162801151757402,99.1544059580362
Rule9109,126,0.153081680010691,99.3074876380469
Rule9138,105,0.127568066675576,99.4350557047224
Rule9147,61,0.074110972068668,99.5091666767911
Rule9104,53,0.064391500321958,99.5735581771131
Rule9144,53,0.064391500321958,99.637949677435
Rule9139,50,0.060746698416941,99.698696375852
Rule9143,44,0.053457094606908,99.7521534704589
Rule9118,43,0.052242160638569,99.8043956310974
Rule9134,38,0.046167490796875,99.8505631218943
Rule9130,29,0.035233085081826,99.8857962069762
Rule9132,24,0.029158415240132,99.9149546222163
Rule9112,17,0.02065387746176,99.935608499678
Rule9149,14,0.017009075556744,99.9526175752348
Rule9124,10,0.012149339683388,99.9647669149182
Rule9111,9,0.010934405715049,99.9757013206332
Rule9114,9,0.010934405715049,99.9866357263483
Rule9110,4,0.004859735873355,99.9914954622216
Rule9101,3,0.003644801905016,99.9951402641266
Rule9116,3,0.003644801905016,99.9987850660316
Rule9125,1,0.001214933968339,100
